Month	PortfolioValue
2014-01	10000.00
2014-02	20606.00
2014-03	29309.95
2014-04	39874.37
2014-05	47372.36
2014-06	61241.64
2014-07	69574.82
2014-08	80236.35
2014-09	86712.74
2014-10	93726.81
2014-11	104697.98
2014-12	118073.52
2015-01	134325.46
2015-02	137315.09
2015-03	145612.46
2015-04	157698.42
2015-05	169589.68
2015-06	176773.09
2015-07	176236.06
2015-08	197895.85
2015-09	204422.55
2015-10	217676.71
2015-11	217762.94
2015-12	225198.16
2016-01	252957.72
2016-02	292196.72
2016-03	292223.53
2016-04	315567.96
2016-05	310467.10
2016-06	348364.58
2016-07	364287.60
2016-08	363548.72
2016-09	373640.27
2016-10	371559.02
2016-11	361490.35
2016-12	361574.87
2017-01	389372.97
2017-02	406837.75
2017-03	403555.72
2017-04	415022.82
2017-05	430592.68
2017-06	431079.32
2017-07	445584.03
2017-08	471969.44
2017-09	479466.09
2017-10	480286.96
2017-11	489454.49
2017-12	509428.63
2018-01	529799.98
2018-02	539807.50
2018-03	553806.48
2018-04	574431.69
2018-05	584390.17
2018-06	583854.85
2018-07	580049.61
2018-08	601489.11
2018-09	619998.34
2018-10	646874.83
2018-11	628115.71
2018-12	668047.13
2019-01	711494.57
2019-02	718471.22
2019-03	700836.25
2019-04	708426.99
2019-05	732866.25
2019-06	793773.59
2019-07	810141.29
2019-08	905487.95
2019-09	869257.47
2019-10	912607.26
2019-11	901900.98
2019-12	941980.36
2020-01	995811.08
2020-02	997967.06
2020-03	1069018.72
2020-04	1144938.98
2020-05	1201771.26
2020-06	1246340.78
2020-07	1361574.71
2020-08	1341019.39
2020-09	1309034.88
2020-10	1319418.01
2020-11	1252514.84
2020-12	1330752.50
2021-01	1305091.45
2021-02	1234428.57
2021-03	1239140.59
2021-04	1299314.63
2021-05	1376394.50
2021-06	1324632.97
2021-07	1365251.32
2021-08	1361579.04
2021-09	1343130.43
2021-10	1383049.34
2021-11	1390497.75
2021-12	1430849.10
2022-01	1426879.57
2022-02	1520452.63
2022-03	1586109.67
2022-04	1579238.48
2022-05	1552696.75
2022-06	1557182.27
2022-07	1544604.42
2022-08	1512797.77
2022-09	1511419.70
2022-10	1511173.71
2022-11	1610949.32
2022-12	1713716.15
2023-01	1799586.44
2023-02	1738176.45
2023-03	1868840.19
2023-04	1891150.30
2023-05	1897224.26
2023-06	1852219.30
2023-07	1913954.44
2023-08	1902825.87
2023-09	1835177.48
2023-10	1983771.33
2023-11	2047459.66
2023-12	2056304.26
2024-01	2072388.95
2024-02	2074731.63
2024-03	2271917.27
2024-04	2359372.48
2024-05	2398075.12
2024-06	2416779.72
2024-07	2538058.49
2024-08	2623315.30
2024-09	2777098.97
2024-10	2907608.27
2024-11	2844114.74
2024-12	2868168.86
2025-01	3108901.22
2025-02	3170371.44
2025-03	3428536.41
2025-04	3622963.77
2025-05	3623378.60
2025-06	3643434.77
2025-07	3723566.22
