Date,Change  
07/01/2025,-2.93
06/01/2025,3.1
05/01/2025,1.71
04/01/2025,3.46
03/01/2025,6.3
02/01/2025,-5.89
01/01/2025,-0.58
12/01/2024,-2.02
11/01/2024,-0.31
10/01/2024,-6.22
09/01/2024,2.28
08/01/2024,1.14
07/01/2024,3.92
06/01/2024,6.57
05/01/2024,-0.33
04/01/2024,1.24
03/01/2024,1.57
02/01/2024,1.18
01/01/2024,-0.03
12/01/2023,7.94
11/01/2023,5.52
10/01/2023,-2.84
09/01/2023,2
08/01/2023,-2.53
07/01/2023,2.94
06/01/2023,3.53
05/01/2023,2.6
04/01/2023,4.06
03/01/2023,0.32
02/01/2023,-2.03
01/01/2023,-2.45
12/01/2022,-3.48
11/01/2022,4.14
10/01/2022,5.37
09/01/2022,-3.74
08/01/2022,3.5
07/01/2022,8.73
06/01/2022,-4.85
05/01/2022,-3.03
04/01/2022,-2.07
03/01/2022,3.99
02/01/2022,-3.15
01/01/2022,-0.08
12/01/2021,2.18
11/01/2021,-3.9
10/01/2021,0.3
09/01/2021,2.84
08/01/2021,8.69
07/01/2021,0.26
06/01/2021,0.89
05/01/2021,6.5
04/01/2021,-0.41
03/01/2021,1.11
02/01/2021,6.56
01/01/2021,-2.48
12/01/2020,7.81
11/01/2020,11.39
10/01/2020,3.51
09/01/2020,-1.23
08/01/2020,2.84
07/01/2020,7.49
