Date,Change  
07/01/2025,-2.76
06/01/2025,3.35
05/01/2025,3.49
04/01/2025,2.32
03/01/2025,10.48
02/01/2025,-9.61
01/01/2025,-7.15
12/01/2024,-3.87
11/01/2024,1.17
10/01/2024,-9.32
09/01/2024,2.41
08/01/2024,0.66
07/01/2024,4.56
06/01/2024,5.92
05/01/2024,4.05
04/01/2024,7.05
03/01/2024,2.77
02/01/2024,6.68
01/01/2024,3.66
12/01/2023,11.09
11/01/2023,9.09
10/01/2023,-2.26
09/01/2023,1.4
08/01/2023,-1.92
07/01/2023,3.51
06/01/2023,4.05
05/01/2023,6.42
04/01/2023,4.54
03/01/2023,1.46
02/01/2023,-4.97
01/01/2023,-7.08
12/01/2022,-3.43
11/01/2022,2.5
10/01/2022,0.56
09/01/2022,-3.03
08/01/2022,6.85
07/01/2022,12.06
06/01/2022,-6.35
05/01/2022,-8.35
04/01/2022,3.45
03/01/2022,2.65
02/01/2022,-2.54
01/01/2022,-2.65
12/01/2021,1.04
11/01/2021,-0.72
10/01/2021,-0.7
09/01/2021,1.92
08/01/2021,5.64
07/01/2021,2.21
06/01/2021,2.08
05/01/2021,8.54
04/01/2021,1.71
03/01/2021,-0.15
02/01/2021,7.82
01/01/2021,-2.35
12/01/2020,7.17
11/01/2020,10.92
10/01/2020,1.16
09/01/2020,0.78
08/01/2020,-0.14
07/01/2020,4.34
